t_eff,log_g,feh,afe,v_mic,phase,age,v_macro,h_abundance,he_abundance,filename
4932.1777,4.2743597,0.5,0.41968223,3.0086045,-1,7.1,0.0,0.91439843,0.0799195,b'X0000'
4670.5576,0.960434,0.5,-0.09905376,2.1588297,0,7.15,0.0,0.9192361,0.07810762,b'X0001'
6180.6104,4.077509,0.5,0.32348517,3.6527767,-1,7.2,0.0,0.9157777,0.07940075,b'X0002'
6798.6284,4.1115623,0.5,0.33634564,2.1587796,0,7.2,0.0,0.91561043,0.07946353,b'X0003'
4129.801,0.90577406,0.5,0.17602962,1.8756675,0,7.2,0.0,0.91737866,0.078800775,b'X0004'
6013.5303,4.3124137,0.5,0.3619562,1.9672645,-1,7.3,0.0,0.9152625,0.079594314,b'X0005'
4333.1274,1.0820072,0.5,0.25303537,4.9465494,0,7.3,0.0,0.9166104,0.079088375,b'X0006'
5753.5557,4.3983574,0.5,0.04345069,3.5026882,0,7.5,0.0,0.9184202,0.07841173,b'X0007'
6657.685,4.2405715,0.5,0.16360223,2.8561141,0,7.55,0.0,0.91749036,0.07875901,b'X0008'
5544.406,4.4650903,0.5,-0.013876788,2.1514108,0,7.65,0.0,0.9187809,0.07827721,b'X0009'
4379.804,1.545514,0.5,0.22459924,4.1608834,2,7.65,0.0,0.9169102,0.07897611,b'X0010'
5641.7837,4.4398494,0.5,0.2265805,1.8854096,0,7.7,0.0,0.9168899,0.0789837,b'X0011'
6540.8438,2.0722427,0.5,-0.01678314,0.9861248,2,7.7,0.0,0.91879797,0.07827086,b'X0012'
5601.282,4.4535127,0.5,0.16092402,3.8674188,0,7.75,0.0,0.91751397,0.07875016,b'X0013'
6903.6597,4.225192,0.5,0.30091593,3.6477127,0,7.75,0.0,0.9160594,0.079295024,b'X0014'
7417.1836,2.3975518,0.5,0.3585654,2.3463264,2,7.85,0.0,0.9153098,0.079576544,b'X0015'
5959.5044,4.3938656,0.5,0.15981334,2.9271815,0,7.95,0.0,0.9175238,0.07874652,b'X0016'
4218.13,1.7427815,0.5,-0.025296576,2.8069754,2,7.95,0.0,0.91884726,0.07825248,b'X0017'
3969.4478,1.4265277,0.5,0.49829498,4.9583964,2,7.95,0.0,0.91302043,0.0804395,b'X0018'
5385.186,4.5112205,0.5,0.3848417,1.7105742,0,8.0,0.0,0.9149336,0.079718,b'X0019'
4143.49,1.6800224,0.5,0.38636896,2.6823845,2,8.0,0.0,0.91491103,0.0797265,b'X0020'
